id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,back-door,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
d93d8,2019-06-21,18-24,4,17,9,6,25,11,36,0,108,7,0.88,0.29,2.48,0.33,10,74
d93d8,2019-06-22,00-06,9,33,0,10,25,20,27,0,124,6,0.75,0.58,2.45,0.27,7,74
d93d8,2019-06-22,06-12,10,27,0,12,25,26,13,0,113,6,0.75,0.58,2.47,0.24,9,79
d93d8,2019-06-22,12-18,11,9,0,28,30,32,26,0,136,6,0.75,0.23,2.45,0.24,9,87
d93d8,2019-06-22,18-24,5,3,0,38,22,22,37,0,127,6,0.75,0.1,2.23,0.3,15,78
d93d8,2019-06-23,00-06,16,33,0,8,36,25,28,0,146,6,0.75,0.55,2.45,0.25,4,103
d93d8,2019-06-23,06-12,18,29,0,24,40,59,17,0,187,6,0.75,0.41,2.44,0.32,24,125
d93d8,2019-06-23,12-18,8,6,0,22,33,38,34,0,141,6,0.75,0.13,2.34,0.27,17,94
d93d8,2019-06-23,18-24,3,3,0,24,25,23,28,0,106,6,0.75,0.08,2.25,0.26,12,71
d93d8,2019-06-24,00-06,6,49,0,8,19,9,11,0,102,6,0.75,1.41,2.14,0.48,9,56
d93d8,2019-06-24,06-12,18,27,4,14,32,11,13,0,119,7,0.88,0.8,2.6,0.27,18,90
d93d8,2019-06-24,12-18,1,12,2,8,25,14,21,0,83,7,0.88,0.22,2.39,0.3,11,56
d93d8,2019-06-24,18-24,6,6,0,34,30,25,45,0,146,6,0.75,0.12,2.3,0.31,19,96
d93d8,2019-06-25,00-06,7,44,0,12,29,17,21,0,130,6,0.75,0.76,2.36,0.34,6,76
d93d8,2019-06-25,06-12,11,28,7,24,40,23,24,0,157,7,0.88,0.45,2.65,0.25,14,114
d93d8,2019-06-25,12-18,7,18,0,36,41,38,28,0,168,6,0.75,0.23,2.42,0.24,28,124
d93d8,2019-06-25,18-24,5,4,0,18,24,27,46,0,124,6,0.75,0.09,2.22,0.37,13,78
d93d8,2019-06-26,00-06,8,46,0,18,15,14,9,0,110,6,0.75,1.42,2.29,0.42,7,59
d93d8,2019-06-26,06-12,13,23,0,28,31,23,28,0,146,6,0.75,0.44,2.54,0.21,11,94
d93d8,2019-06-26,12-18,6,8,0,28,34,41,29,0,146,6,0.75,0.13,2.34,0.28,18,107
d93d8,2019-06-26,18-24,4,12,0,26,29,22,48,0,141,6,0.75,0.16,2.31,0.34,12,83
d93d8,2019-06-27,00-06,9,39,0,8,26,13,19,0,114,6,0.75,0.83,2.36,0.34,8,75
d93d8,2019-06-27,06-12,15,32,7,6,32,14,10,0,116,7,0.88,0.84,2.55,0.28,20,87
d93d8,2019-06-27,12-18,10,16,2,28,28,18,24,0,126,7,0.88,0.37,2.58,0.22,21,101
d93d8,2019-06-27,18-24,4,7,2,22,22,19,35,0,111,7,0.88,0.14,2.42,0.32,11,77
d93d8,2019-06-28,00-06,10,42,0,10,25,11,11,0,109,6,0.75,1.11,2.32,0.39,4,63
d93d8,2019-06-28,06-12,16,27,10,22,32,26,12,0,145,7,0.88,0.61,2.7,0.22,7,95
d93d8,2019-06-28,12-18,9,9,2,72,46,54,27,0,219,7,0.88,0.14,2.31,0.33,36,164
d93d8,2019-06-28,18-24,8,8,0,32,38,33,52,0,171,6,0.75,0.13,2.33,0.3,10,118
d93d8,2019-06-29,00-06,8,50,0,16,19,16,13,0,122,6,0.75,1.21,2.32,0.41,14,68
d93d8,2019-06-29,06-12,10,13,0,20,36,23,20,0,122,6,0.75,0.29,2.47,0.3,19,92
d93d8,2019-06-29,12-18,13,5,0,36,41,41,36,0,172,6,0.75,0.15,2.36,0.24,35,131
d93d8,2019-06-29,18-24,5,7,0,36,24,32,31,0,135,6,0.75,0.14,2.33,0.27,12,85
d93d8,2019-06-30,00-06,8,49,0,14,22,19,20,0,132,6,0.75,0.93,2.36,0.37,13,74
d93d8,2019-06-30,06-12,23,44,0,26,77,55,30,0,255,6,0.75,0.41,2.45,0.3,49,193
d93d8,2019-06-30,12-18,2,6,4,10,10,13,10,0,55,7,0.88,0.24,2.63,0.24,7,44
d93d8,2019-06-30,18-24,11,10,0,10,27,19,39,0,116,6,0.75,0.25,2.38,0.34,11,83
