id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,kitchen
c55f8,2019-06-06,12-24,2.0,0.0,0.0,8.0,3.0,23.0
c55f8,2019-06-07,00-12,44.0,9.0,37.0,20.0,32.0,37.0
c55f8,2019-06-07,12-24,74.0,2.0,11.0,68.0,43.0,110.0
c55f8,2019-06-08,00-12,41.0,6.0,28.0,36.0,24.0,48.0
c55f8,2019-06-08,12-24,128.0,6.0,15.0,82.0,105.0,152.0
c55f8,2019-06-09,00-12,42.0,2.0,26.0,32.0,25.0,46.0
c55f8,2019-06-09,12-24,42.0,7.0,7.0,81.0,21.0,96.0
c55f8,2019-06-10,00-12,27.0,11.0,34.0,20.0,35.0,41.0
c55f8,2019-06-10,12-24,101.0,3.0,20.0,48.0,48.0,142.0
c55f8,2019-06-11,00-12,35.0,2.0,26.0,30.0,36.0,54.0
c55f8,2019-06-11,12-24,42.0,2.0,5.0,38.0,15.0,62.0
c55f8,2019-06-12,00-12,39.0,13.0,30.0,24.0,40.0,68.0
c55f8,2019-06-12,12-24,104.0,1.0,14.0,62.0,34.0,120.0
c55f8,2019-06-13,00-12,43.0,9.0,32.0,36.0,89.0,50.0
c55f8,2019-06-13,12-24,32.0,2.0,23.0,12.0,40.0,86.0
c55f8,2019-06-14,00-12,35.0,9.0,37.0,20.0,32.0,49.0
c55f8,2019-06-14,12-24,62.0,0.0,11.0,84.0,35.0,76.0
c55f8,2019-06-15,00-12,0.0,1.0,2.0,0.0,2.0,0.0
c55f8,2019-06-15,12-24,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-06-17,00-12,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-06-17,12-24,55.0,0.0,15.0,44.0,30.0,84.0
c55f8,2019-06-18,00-12,27.0,2.0,21.0,42.0,23.0,59.0
c55f8,2019-06-18,12-24,104.0,3.0,7.0,126.0,119.0,189.0
c55f8,2019-06-19,00-12,22.0,11.0,23.0,20.0,53.0,41.0
c55f8,2019-06-19,12-24,33.0,1.0,10.0,64.0,37.0,87.0
c55f8,2019-06-20,00-12,13.0,0.0,3.0,4.0,9.0,20.0
c55f8,2019-06-20,12-24,68.0,1.0,11.0,88.0,41.0,106.0
c55f8,2019-06-21,00-12,37.0,7.0,27.0,18.0,32.0,58.0
c55f8,2019-06-21,12-24,54.0,3.0,14.0,20.0,29.0,51.0
c55f8,2019-06-22,00-12,27.0,4.0,28.0,26.0,26.0,41.0
c55f8,2019-06-22,12-24,61.0,3.0,3.0,50.0,30.0,111.0
c55f8,2019-06-23,00-12,24.0,3.0,23.0,24.0,15.0,30.0
c55f8,2019-06-23,12-24,93.0,8.0,17.0,58.0,39.0,140.0
c55f8,2019-06-24,00-12,47.0,6.0,33.0,30.0,46.0,86.0
c55f8,2019-06-24,12-24,60.0,0.0,18.0,74.0,56.0,143.0
c55f8,2019-06-25,00-12,31.0,3.0,25.0,18.0,28.0,62.0
c55f8,2019-06-25,12-24,74.0,5.0,12.0,74.0,29.0,114.0
c55f8,2019-06-26,00-12,52.0,8.0,31.0,26.0,42.0,79.0
c55f8,2019-06-26,12-24,162.0,3.0,20.0,66.0,39.0,129.0
c55f8,2019-06-27,00-12,27.0,11.0,37.0,18.0,74.0,51.0
c55f8,2019-06-27,12-24,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-06-28,00-12,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-06-28,12-24,46.0,1.0,3.0,26.0,51.0,75.0
c55f8,2019-06-29,00-12,10.0,1.0,16.0,30.0,18.0,34.0
c55f8,2019-06-29,12-24,114.0,3.0,14.0,106.0,90.0,160.0
c55f8,2019-06-30,00-12,32.0,12.0,25.0,33.0,36.0,74.0
c55f8,2019-06-30,12-24,66.0,1.0,26.0,72.0,57.0,107.0
