back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0.0,98.0,0.0,0.0,20.0,18.0,138.0,0.0
0.0,55.0,0.0,0.0,46.0,30.0,131.0,0.0
0.0,68.0,0.0,0.0,64.0,43.0,102.0,0.0
0.0,98.0,0.0,0.0,51.0,35.0,143.0,0.0
0.0,57.0,0.0,0.0,34.0,16.0,117.0,0.0
58.0,18.0,32.0,86.0,13.0,78.0,125.0,47.0
58.0,42.0,54.0,68.0,10.0,100.0,172.0,45.0
77.0,46.0,52.0,52.0,2.0,102.0,155.0,53.0
79.0,46.0,42.0,72.0,4.0,81.0,207.0,33.0
47.0,45.0,58.0,72.0,8.0,97.0,158.0,53.0
54.0,43.0,57.0,46.0,4.0,86.0,151.0,43.0
46.0,56.0,46.0,84.0,6.0,96.0,182.0,60.0
47.0,41.0,57.0,52.0,6.0,71.0,145.0,21.0
64.0,34.0,53.0,58.0,4.0,93.0,141.0,54.0
54.0,52.0,71.0,56.0,10.0,82.0,134.0,43.0
92.0,43.0,32.0,82.0,6.0,69.0,195.0,32.0
52.0,48.0,54.0,42.0,6.0,87.0,136.0,43.0
71.0,57.0,40.0,64.0,8.0,97.0,178.0,40.0
55.0,51.0,47.0,70.0,8.0,87.0,183.0,45.0
84.0,39.0,44.0,62.0,8.0,105.0,180.0,58.0
66.0,38.0,57.0,54.0,4.0,92.0,159.0,43.0
62.0,44.0,87.0,60.0,10.0,127.0,176.0,62.0
15.0,25.0,43.0,12.0,4.0,28.0,49.0,4.0
20.0,25.0,21.0,26.0,2.0,65.0,93.0,34.0
38.0,48.0,60.0,75.0,10.0,104.0,171.0,44.0
62.0,47.0,54.0,84.0,0.0,93.0,176.0,39.0
34.0,39.0,61.0,46.0,2.0,72.0,121.0,31.0
54.0,41.0,49.0,60.0,9.0,91.0,172.0,24.0
65.0,39.0,55.0,40.0,0.0,105.0,165.0,56.0
66.0,51.0,53.0,68.0,6.0,100.0,163.0,56.0
28.0,42.0,79.0,38.0,4.0,107.0,161.0,60.0
29.0,42.0,27.0,46.0,0.0,83.0,112.0,44.0
28.0,51.0,63.0,50.0,0.0,89.0,157.0,35.0
44.0,48.0,57.0,62.0,0.0,93.0,155.0,38.0
66.0,43.0,36.0,66.0,4.0,57.0,142.0,28.0
59.0,48.0,51.0,58.0,4.0,72.0,165.0,19.0
14.0,16.0,37.0,20.0,4.0,29.0,49.0,7.0
34.0,48.0,56.0,66.0,4.0,78.0,143.0,25.0
20.0,39.0,52.0,48.0,4.0,64.0,134.0,18.0
56.0,54.0,62.0,60.0,2.0,89.0,164.0,39.0
14.0,51.0,57.0,74.0,8.0,90.0,158.0,46.0
56.0,32.0,60.0,57.0,6.0,89.0,158.0,53.0
82.0,53.0,48.0,106.0,18.0,127.0,209.0,63.0
58.0,54.0,46.0,76.0,0.0,96.0,208.0,39.0
50.0,40.0,54.0,70.0,6.0,96.0,162.0,67.0
105.0,55.0,54.0,98.0,2.0,99.0,193.0,46.0
44.0,55.0,47.0,76.0,4.0,104.0,162.0,39.0
30.0,31.0,59.0,72.0,12.0,72.0,174.0,22.0
46.0,44.0,66.0,68.0,6.0,89.0,180.0,30.0
49.0,36.0,50.0,62.0,2.0,92.0,144.0,44.0
51.0,37.0,67.0,72.0,2.0,111.0,194.0,44.0
18.0,46.0,59.0,42.0,2.0,57.0,84.0,18.0
27.0,25.0,21.0,14.0,20.0,56.0,82.0,11.0
55.0,49.0,53.0,54.0,8.0,76.0,137.0,30.0
34.0,49.0,58.0,56.0,6.0,90.0,177.0,36.0
20.0,41.0,49.0,44.0,8.0,88.0,178.0,32.0
73.0,57.0,48.0,48.0,0.0,100.0,167.0,30.0
12.0,47.0,58.0,70.0,4.0,93.0,132.0,17.0
52.0,56.0,79.0,74.0,10.0,103.0,143.0,26.0
18.0,45.0,56.0,70.0,0.0,76.0,131.0,30.0
14.0,42.0,56.0,68.0,4.0,80.0,134.0,37.0
38.0,38.0,49.0,74.0,2.0,60.0,125.0,21.0
36.0,54.0,49.0,80.0,4.0,89.0,187.0,33.0
14.0,44.0,52.0,42.0,0.0,59.0,111.0,15.0
20.0,41.0,61.0,74.0,6.0,75.0,113.0,20.0
11.0,25.0,22.0,43.0,10.0,36.0,65.0,27.0
0.0,54.0,51.0,58.0,4.0,29.0,74.0,33.0
0.0,46.0,47.0,52.0,6.0,35.0,61.0,19.0
0.0,49.0,43.0,46.0,2.0,26.0,86.0,30.0
0.0,54.0,47.0,46.0,0.0,30.0,78.0,28.0
0.0,50.0,41.0,74.0,8.0,30.0,59.0,29.0
0.0,48.0,41.0,70.0,14.0,28.0,63.0,23.0
0.0,48.0,43.0,62.0,14.0,25.0,130.0,31.0
4.0,66.0,60.0,54.0,6.0,38.0,93.0,24.0
0.0,53.0,45.0,56.0,19.0,47.0,80.0,57.0
0.0,46.0,37.0,94.0,0.0,20.0,116.0,32.0
0.0,71.0,62.0,54.0,7.0,50.0,72.0,45.0
0.0,45.0,39.0,66.0,10.0,29.0,93.0,33.0
4.0,43.0,47.0,70.0,10.0,33.0,79.0,29.0
0.0,47.0,49.0,78.0,8.0,36.0,73.0,27.0
0.0,55.0,56.0,48.0,8.0,33.0,68.0,30.0
0.0,47.0,51.0,58.0,8.0,31.0,68.0,24.0
0.0,60.0,64.0,62.0,2.0,28.0,105.0,27.0
0.0,51.0,56.0,92.0,7.0,30.0,97.0,36.0
0.0,53.0,52.0,52.0,6.0,37.0,97.0,34.0
6.0,52.0,50.0,60.0,2.0,36.0,97.0,37.0
0.0,56.0,48.0,74.0,6.0,37.0,69.0,28.0
