id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
714d7,2019-05-23,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-24,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-24,06-12,1,0.04,0.2,1,2,0.17,0.56,4,8,1.08,2.43,26,6,0.25,1.22,6,4,0.29,1.0,7,13,1.71,3.84,41,1,0.04,0.2,1
714d7,2019-05-24,12-18,1,0.12,0.34,3,6,0.62,1.76,15,16,1.33,3.9,32,8,0.42,1.67,10,16,1.46,3.78,35,13,1.83,4.07,44,8,0.96,2.18,23
714d7,2019-05-24,18-24,0,0.0,0.0,0,9,0.83,2.18,20,2,0.08,0.41,2,4,0.25,0.9,6,7,1.0,2.3,24,13,1.38,3.27,33,7,0.79,1.89,19
714d7,2019-05-25,00-06,0,0.0,0.0,0,3,0.21,0.66,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2,0,0.0,0.0,0
714d7,2019-05-25,06-12,1,0.04,0.2,1,6,0.62,1.71,15,8,0.92,2.21,22,2,0.08,0.41,2,3,0.33,0.82,8,13,1.29,2.94,31,1,0.17,0.38,4
714d7,2019-05-25,12-18,0,0.0,0.0,0,2,0.12,0.45,3,12,1.33,3.14,32,4,0.42,1.18,10,12,1.75,3.64,42,17,2.0,4.33,48,11,1.62,3.4,39
714d7,2019-05-25,18-24,2,0.12,0.45,3,3,0.29,0.75,7,0,0.0,0.0,0,4,0.17,0.82,4,12,1.25,2.86,30,14,1.17,3.07,28,9,0.88,2.13,21
714d7,2019-05-26,00-06,0,0.0,0.0,0,2,0.12,0.45,3,2,0.08,0.41,2,0,0.0,0.0,0,1,0.08,0.28,2,2,0.12,0.45,3,0,0.0,0.0,0
714d7,2019-05-26,06-12,1,0.04,0.2,1,6,0.46,1.35,11,10,1.42,3.03,34,6,0.25,1.22,6,9,0.54,1.86,13,11,1.62,3.13,39,1,0.08,0.28,2
714d7,2019-05-26,12-18,3,0.21,0.66,5,6,0.29,1.23,7,10,0.96,2.53,23,4,0.33,0.96,8,10,1.25,2.82,30,10,1.58,3.32,38,8,0.96,2.16,23
714d7,2019-05-26,18-24,0,0.0,0.0,0,4,0.29,1.0,7,6,0.42,1.44,10,2,0.08,0.41,2,11,0.67,2.32,16,11,0.88,2.59,21,7,0.5,1.62,12
714d7,2019-05-27,00-06,0,0.0,0.0,0,3,0.21,0.72,5,4,0.17,0.82,4,0,0.0,0.0,0,2,0.08,0.41,2,3,0.12,0.61,3,0,0.0,0.0,0
714d7,2019-05-27,06-12,1,0.04,0.2,1,3,0.33,0.92,8,16,1.17,3.58,28,2,0.25,0.68,6,10,0.75,2.21,18,13,1.33,3.5,32,5,0.25,1.03,6
714d7,2019-05-27,12-18,0,0.0,0.0,0,3,0.5,1.06,12,14,0.92,3.06,22,4,0.25,0.9,6,13,0.96,2.8,23,10,1.21,2.87,29,13,0.83,2.68,20
714d7,2019-05-27,18-24,3,0.12,0.61,3,6,0.5,1.35,12,2,0.08,0.41,2,0,0.0,0.0,0,8,0.92,2.38,22,7,0.71,1.78,17,8,0.83,2.28,20
714d7,2019-05-28,00-06,0,0.0,0.0,0,5,0.54,1.22,13,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,3,0.17,0.64,4,0,0.0,0.0,0
714d7,2019-05-28,06-12,4,0.21,0.83,5,6,0.42,1.35,10,6,0.58,1.5,14,2,0.08,0.41,2,3,0.42,0.88,10,9,1.33,2.55,32,2,0.12,0.45,3
714d7,2019-05-28,12-18,4,0.29,0.86,7,4,0.29,1.0,7,6,0.42,1.32,10,6,0.5,1.47,12,14,1.33,3.53,32,14,1.46,3.81,35,12,1.0,2.72,24
714d7,2019-05-28,18-24,4,0.17,0.82,4,6,0.42,1.32,10,8,0.5,1.69,12,4,0.17,0.82,4,9,0.96,2.22,23,14,1.12,3.03,27,6,0.79,1.84,19
714d7,2019-05-29,00-06,0,0.0,0.0,0,2,0.17,0.48,4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-29,06-12,2,0.21,0.59,5,14,1.38,3.42,33,10,1.08,2.57,26,6,0.5,1.47,12,12,1.25,2.95,30,12,1.83,3.9,44,4,0.29,0.91,7
714d7,2019-05-29,12-18,4,0.29,0.91,7,2,0.17,0.48,4,10,0.67,2.18,16,4,0.25,0.9,6,13,0.88,2.71,21,13,1.21,3.15,29,13,0.88,2.72,21
714d7,2019-05-29,18-24,6,0.33,1.27,8,6,0.38,1.35,9,4,0.17,0.82,4,4,0.17,0.82,4,3,0.46,0.93,11,7,0.67,1.71,16,3,0.29,0.69,7
714d7,2019-05-30,00-06,0,0.0,0.0,0,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-30,06-12,2,0.12,0.45,3,11,0.79,2.6,19,8,1.08,2.43,26,2,0.08,0.41,2,7,0.62,1.56,15,12,1.38,3.0,33,3,0.25,0.74,6
714d7,2019-05-30,12-18,0,0.0,0.0,0,2,0.17,0.48,4,6,0.58,1.61,14,2,0.08,0.41,2,10,1.08,2.81,26,11,1.21,3.09,29,8,1.0,2.48,24
714d7,2019-05-30,18-24,5,0.38,1.28,9,11,0.88,2.59,21,6,0.42,1.32,10,2,0.17,0.56,4,9,1.17,2.82,28,10,1.38,3.08,33,17,1.62,4.31,39
714d7,2019-05-31,00-06,0,0.0,0.0,0,1,0.12,0.34,3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-31,06-12,2,0.21,0.59,5,7,0.92,2.36,22,8,0.67,1.93,16,8,0.58,1.82,14,18,1.58,4.22,38,19,1.79,4.66,43,13,0.71,2.69,17
