id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
56b6b,2019-05-18,12-18,8,0.75,2.05,18,0,0.0,0.0,0,3,0.38,0.92,9,5,0.5,1.25,12,5,0.46,1.18,11,8,1.12,2.61,27,20,2.0,4.98,48
56b6b,2019-05-18,18-24,7,0.92,2.06,22,0,0.0,0.0,0,11,1.54,3.4,37,2,0.33,0.76,8,4,0.25,0.9,6,11,1.46,3.3,35,19,2.38,5.47,57
56b6b,2019-05-19,00-06,0,0.0,0.0,0,0,0.0,0.0,0,4,0.29,1.0,7,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-19,06-12,0,0.0,0.0,0,0,0.0,0.0,0,19,1.5,4.59,36,0,0.0,0.0,0,2,0.08,0.41,2,11,0.67,2.35,16,5,0.42,1.28,10
56b6b,2019-05-19,12-18,6,0.33,1.27,8,0,0.0,0.0,0,15,1.08,3.43,26,4,0.17,0.82,4,2,0.17,0.56,4,7,0.75,1.94,18,12,1.08,2.84,26
56b6b,2019-05-19,18-24,2,0.12,0.45,3,0,0.0,0.0,0,7,0.71,1.85,17,0,0.0,0.0,0,2,0.08,0.41,2,10,0.96,2.49,23,11,1.38,3.42,33
56b6b,2019-05-20,00-06,0,0.0,0.0,0,0,0.0,0.0,0,18,1.04,3.7,25,0,0.0,0.0,0,0,0.0,0.0,0,7,0.29,1.43,7,4,0.17,0.82,4
56b6b,2019-05-20,06-12,4,0.25,0.9,6,0,0.0,0.0,0,13,1.08,3.53,26,0,0.0,0.0,0,6,0.42,1.44,10,13,0.62,2.67,15,13,0.67,2.7,16
56b6b,2019-05-20,12-18,3,0.25,0.74,6,0,0.0,0.0,0,16,1.0,3.4,24,2,0.08,0.41,2,6,0.62,1.44,15,8,1.0,2.13,24,18,2.08,5.41,50
56b6b,2019-05-20,18-24,4,0.42,1.06,10,0,0.0,0.0,0,22,1.92,5.09,46,2,0.17,0.56,4,4,0.33,0.96,8,11,1.42,3.12,34,15,2.12,4.31,51
56b6b,2019-05-21,00-06,2,0.08,0.41,2,0,0.0,0.0,0,8,0.58,1.72,14,0,0.0,0.0,0,0,0.0,0.0,0,3,0.12,0.61,3,1,0.04,0.2,1
