id,day,quarter,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0cda9,2019-04-15,12-18,27.0,9.0,6,21.0,44.0,0.0,50.0,28.0
0cda9,2019-04-15,18-24,2.0,11.0,6,6.0,0.0,0.0,14.0,20.0
0cda9,2019-04-16,00-06,0.0,1.0,11,12.0,0.0,0.0,6.0,5.0
0cda9,2019-04-16,06-12,6.0,22.0,9,30.0,13.0,0.0,25.0,40.0
0cda9,2019-04-16,12-18,2.0,6.0,2,22.0,10.0,23.0,22.0,31.0
0cda9,2019-04-16,18-24,2.0,5.0,7,12.0,0.0,22.0,12.0,24.0
0cda9,2019-04-17,00-06,0.0,0.0,18,18.0,0.0,13.0,12.0,14.0
0cda9,2019-04-17,06-12,6.0,21.0,6,28.0,15.0,44.0,34.0,32.0
0cda9,2019-04-17,12-18,2.0,3.0,5,22.0,13.0,31.0,14.0,31.0
0cda9,2019-04-17,18-24,6.0,6.0,12,14.0,2.0,25.0,14.0,18.0
0cda9,2019-04-18,00-06,0.0,0.0,13,14.0,0.0,12.0,11.0,4.0
0cda9,2019-04-18,06-12,12.0,27.0,6,26.0,10.0,33.0,25.0,23.0
0cda9,2019-04-18,12-18,1.0,11.0,14,22.0,18.0,49.0,22.0,44.0
0cda9,2019-04-18,18-24,5.0,5.0,6,4.0,4.0,22.0,12.0,18.0
0cda9,2019-04-19,00-06,0.0,2.0,9,10.0,0.0,8.0,8.0,7.0
0cda9,2019-04-19,06-12,4.0,16.0,4,26.0,16.0,38.0,21.0,30.0
0cda9,2019-04-19,12-18,0.0,4.0,3,10.0,15.0,31.0,13.0,24.0
0cda9,2019-04-19,18-24,4.0,6.0,9,12.0,0.0,28.0,26.0,21.0
0cda9,2019-04-20,00-06,0.0,0.0,8,6.0,0.0,10.0,6.0,9.0
0cda9,2019-04-20,06-12,2.0,20.0,5,26.0,8.0,33.0,32.0,35.0
0cda9,2019-04-20,12-18,4.0,3.0,5,17.0,2.0,28.0,27.0,28.0
0cda9,2019-04-20,18-24,2.0,8.0,7,15.0,0.0,24.0,23.0,29.0
0cda9,2019-04-21,00-06,0.0,0.0,10,8.0,0.0,8.0,7.0,11.0
0cda9,2019-04-21,06-12,2.0,20.0,5,28.0,4.0,33.0,16.0,41.0
0cda9,2019-04-21,12-18,4.0,20.0,8,14.0,14.0,38.0,24.0,25.0
0cda9,2019-04-21,18-24,2.0,3.0,3,0.0,2.0,11.0,7.0,8.0
0cda9,2019-04-22,00-06,0.0,0.0,11,14.0,0.0,10.0,6.0,9.0
