id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-06-17,00-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-17,06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-17,12-18,6.0,2.0,2.0,24.0,23.0,36.0,21.0
d93d8,2019-06-17,18-24,4.0,7.0,2.0,26.0,27.0,26.0,44.0
d93d8,2019-06-18,00-06,7.0,50.0,0.0,4.0,19.0,9.0,10.0
d93d8,2019-06-18,06-12,10.0,24.0,4.0,18.0,31.0,25.0,19.0
d93d8,2019-06-18,12-18,5.0,16.0,2.0,14.0,22.0,17.0,14.0
d93d8,2019-06-18,18-24,8.0,8.0,2.0,12.0,22.0,10.0,41.0
d93d8,2019-06-19,00-06,8.0,67.0,0.0,10.0,19.0,18.0,10.0
d93d8,2019-06-19,06-12,24.0,48.0,6.0,32.0,52.0,26.0,21.0
d93d8,2019-06-19,12-18,9.0,14.0,8.0,20.0,45.0,39.0,36.0
d93d8,2019-06-19,18-24,5.0,7.0,6.0,34.0,27.0,25.0,47.0
d93d8,2019-06-20,00-06,9.0,48.0,0.0,10.0,33.0,22.0,26.0
d93d8,2019-06-20,06-12,18.0,29.0,10.0,10.0,29.0,18.0,15.0
d93d8,2019-06-20,12-18,9.0,7.0,2.0,34.0,43.0,28.0,34.0
d93d8,2019-06-20,18-24,8.0,6.0,0.0,18.0,38.0,34.0,45.0
d93d8,2019-06-21,00-06,10.0,52.0,0.0,4.0,17.0,7.0,2.0
d93d8,2019-06-21,06-12,18.0,18.0,8.0,14.0,42.0,28.0,10.0
d93d8,2019-06-21,12-18,29.0,24.0,8.0,24.0,65.0,51.0,49.0
d93d8,2019-06-21,18-24,4.0,17.0,9.0,6.0,25.0,11.0,36.0
d93d8,2019-06-22,00-06,9.0,33.0,0.0,10.0,25.0,20.0,27.0
d93d8,2019-06-22,06-12,10.0,27.0,0.0,12.0,25.0,26.0,13.0
d93d8,2019-06-22,12-18,11.0,9.0,0.0,28.0,30.0,32.0,26.0
d93d8,2019-06-22,18-24,5.0,3.0,0.0,38.0,22.0,22.0,37.0
d93d8,2019-06-23,00-06,16.0,33.0,0.0,8.0,36.0,25.0,28.0
d93d8,2019-06-23,06-12,18.0,29.0,0.0,24.0,40.0,59.0,17.0
d93d8,2019-06-23,12-18,8.0,6.0,0.0,22.0,33.0,38.0,34.0
d93d8,2019-06-23,18-24,3.0,3.0,0.0,24.0,25.0,23.0,28.0
d93d8,2019-06-24,00-06,6.0,49.0,0.0,8.0,19.0,9.0,11.0
d93d8,2019-06-24,06-12,18.0,27.0,4.0,14.0,32.0,11.0,13.0
d93d8,2019-06-24,12-18,1.0,12.0,2.0,8.0,25.0,14.0,21.0
d93d8,2019-06-24,18-24,6.0,6.0,0.0,34.0,30.0,25.0,45.0
d93d8,2019-06-25,00-06,7.0,44.0,0.0,12.0,29.0,17.0,21.0
d93d8,2019-06-25,06-12,11.0,28.0,7.0,24.0,40.0,23.0,24.0
d93d8,2019-06-25,12-18,7.0,18.0,0.0,36.0,41.0,38.0,28.0
d93d8,2019-06-25,18-24,5.0,4.0,0.0,18.0,24.0,27.0,46.0
d93d8,2019-06-26,00-06,8.0,46.0,0.0,18.0,15.0,14.0,9.0
d93d8,2019-06-26,06-12,13.0,23.0,0.0,28.0,31.0,23.0,28.0
d93d8,2019-06-26,12-18,6.0,8.0,0.0,28.0,34.0,41.0,29.0
d93d8,2019-06-26,18-24,4.0,12.0,0.0,26.0,29.0,22.0,48.0
d93d8,2019-06-27,00-06,9.0,39.0,0.0,8.0,26.0,13.0,19.0
d93d8,2019-06-27,06-12,15.0,32.0,7.0,6.0,32.0,14.0,10.0
d93d8,2019-06-27,12-18,10.0,16.0,2.0,28.0,28.0,18.0,24.0
