id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-05-25,19,3.0,0.0,5.0,8.0,8.0
16f4b,2019-05-25,20,13.0,0.0,20.0,14.0,13.0
16f4b,2019-05-25,21,4.0,0.0,4.0,8.0,9.0
16f4b,2019-05-25,22,0.0,0.0,6.0,11.0,8.0
16f4b,2019-05-26,0,1.0,0.0,0.0,4.0,4.0
16f4b,2019-05-26,1,3.0,0.0,0.0,5.0,3.0
16f4b,2019-05-26,7,1.0,0.0,0.0,2.0,0.0
16f4b,2019-05-26,8,2.0,0.0,0.0,2.0,0.0
16f4b,2019-05-26,9,0.0,0.0,6.0,15.0,7.0
16f4b,2019-05-26,10,17.0,0.0,8.0,16.0,11.0
16f4b,2019-05-26,11,14.0,0.0,14.0,21.0,18.0
16f4b,2019-05-26,12,13.0,0.0,4.0,14.0,8.0
16f4b,2019-05-26,13,15.0,0.0,0.0,15.0,11.0
16f4b,2019-05-26,14,16.0,0.0,2.0,18.0,14.0
16f4b,2019-05-26,15,7.0,0.0,2.0,4.0,6.0
16f4b,2019-05-26,16,3.0,0.0,2.0,6.0,4.0
16f4b,2019-05-26,17,6.0,0.0,2.0,13.0,10.0
16f4b,2019-05-26,18,2.0,0.0,6.0,5.0,2.0
16f4b,2019-05-26,19,2.0,0.0,6.0,2.0,2.0
16f4b,2019-05-26,20,6.0,0.0,4.0,21.0,11.0
16f4b,2019-05-26,21,2.0,0.0,2.0,10.0,8.0
16f4b,2019-05-26,22,1.0,0.0,0.0,15.0,12.0
16f4b,2019-05-26,23,0.0,0.0,0.0,2.0,1.0
16f4b,2019-05-27,0,0.0,0.0,0.0,2.0,2.0
16f4b,2019-05-27,2,1.0,0.0,0.0,4.0,1.0
16f4b,2019-05-27,5,1.0,0.0,0.0,2.0,0.0
16f4b,2019-05-27,8,3.0,0.0,2.0,2.0,2.0
16f4b,2019-05-27,9,13.0,0.0,2.0,14.0,16.0
16f4b,2019-05-27,10,11.0,0.0,8.0,12.0,10.0
16f4b,2019-05-27,11,4.0,0.0,0.0,5.0,4.0
16f4b,2019-05-27,12,7.0,0.0,14.0,16.0,11.0
16f4b,2019-05-27,13,14.0,0.0,22.0,20.0,12.0
16f4b,2019-05-27,14,0.0,0.0,0.0,2.0,0.0
16f4b,2019-05-27,15,0.0,0.0,0.0,1.0,0.0
16f4b,2019-05-27,18,3.0,0.0,6.0,5.0,5.0
16f4b,2019-05-27,19,0.0,0.0,4.0,16.0,17.0
16f4b,2019-05-27,20,9.0,0.0,2.0,15.0,22.0
16f4b,2019-05-27,21,2.0,0.0,2.0,3.0,1.0
16f4b,2019-05-27,22,6.0,0.0,0.0,7.0,6.0
16f4b,2019-05-27,23,0.0,0.0,0.0,1.0,1.0
16f4b,2019-05-28,0,0.0,0.0,0.0,1.0,5.0
16f4b,2019-05-28,1,1.0,0.0,0.0,2.0,1.0
16f4b,2019-05-28,2,0.0,0.0,0.0,2.0,1.0
16f4b,2019-05-28,3,2.0,0.0,0.0,2.0,0.0
16f4b,2019-05-28,8,5.0,0.0,2.0,11.0,8.0
16f4b,2019-05-28,9,11.0,0.0,2.0,22.0,16.0
16f4b,2019-05-28,10,0.0,0.0,8.0,8.0,7.0
16f4b,2019-05-28,11,2.0,0.0,4.0,8.0,7.0
16f4b,2019-05-28,12,5.0,0.0,8.0,7.0,7.0
16f4b,2019-05-28,13,8.0,0.0,6.0,10.0,7.0
16f4b,2019-05-28,14,10.0,0.0,14.0,19.0,14.0
16f4b,2019-05-28,15,2.0,0.0,2.0,12.0,11.0
16f4b,2019-05-28,16,0.0,0.0,0.0,4.0,4.0
16f4b,2019-05-28,17,2.0,0.0,2.0,7.0,6.0
16f4b,2019-05-28,18,6.0,0.0,2.0,5.0,6.0
16f4b,2019-05-28,19,3.0,0.0,0.0,4.0,3.0
16f4b,2019-05-28,20,5.0,0.0,0.0,11.0,13.0
16f4b,2019-05-28,21,8.0,0.0,0.0,12.0,15.0
16f4b,2019-05-28,22,1.0,0.0,4.0,10.0,15.0
16f4b,2019-05-29,0,2.0,0.0,0.0,5.0,3.0
16f4b,2019-05-29,1,0.0,0.0,0.0,1.0,4.0
16f4b,2019-05-29,6,1.0,0.0,0.0,2.0,0.0
16f4b,2019-05-29,8,1.0,0.0,4.0,10.0,9.0
16f4b,2019-05-29,10,8.0,0.0,10.0,14.0,7.0
16f4b,2019-05-29,11,4.0,0.0,2.0,6.0,6.0
